exposure,veh_value,claimcst0,numclaims,veh_age,gender,area,agecat
0.303901437,1.06,0,0,3,0,3,2
0.648870637,1.03,0,0,2,0,1,4
0.569472964,3.26,0,0,2,0,5,2
0.317590691,4.14,0,0,2,0,4,2
0.648870637,0.72,0,0,4,0,3,2
0.854209446,2.01,0,0,3,1,3,4
0.854209446,1.6,0,0,3,1,1,4
0.55578371,1.47,0,0,2,1,2,6
0.361396304,0.52,0,0,4,0,1,3
0.52019165,0.38,0,0,4,0,2,4
0.854209446,1.38,0,0,2,1,1,2
0.854209446,1.22,0,0,3,1,3,4
0.492813142,1,0,0,2,0,3,4
0.314852841,7.04,0,0,1,1,1,5
0.484599589,1.66,669.5099993,1,3,1,2,6
0.391512663,2.35,0,0,2,1,3,4
0.993839836,1.51,806.6099987,1,3,0,6,4
0.539356605,0.76,401.8054514,1,3,1,3,4
0.45174538,0.27,0,0,4,0,4,2
0.594113621,0.89,0,0,3,0,3,3
0.594113621,1.95,0,0,1,1,1,1
0.536618754,0.39,0,0,4,1,3,5
0.594113621,3.86,0,0,2,0,2,2
0.59137577,1.37,0,0,1,0,2,1
0.999315537,1.3,0,0,2,0,1,2
0.030116359,1.44,0,0,2,0,3,1
0.462696783,1.349,0,0,1,0,3,5
0.317590691,1.39,0,0,3,0,3,2
0.287474333,1,0,0,4,1,3,3
0.06844627,1.51,0,0,2,0,3,2
0.594113621,4.45,0,0,1,0,3,3
0.536618754,2.17,0,0,2,0,1,4
0.854209446,0.87,0,0,3,1,4,3
0.848733744,4.09,0,0,1,1,1,2
0.405201917,1.31,0,0,2,1,3,1
0.854209446,1.9,0,0,1,0,1,4
0.577686516,2.42,0,0,1,0,1,4
0.421629021,1.05,0,0,4,0,3,6
0.594113621,1.42,0,0,3,1,4,4
0.854209446,3,0,0,3,1,2,3
0.654346338,1.89,1811.709997,2,3,1,6,2
0.251882272,2.61,0,0,2,1,2,4
0.536618754,0.93,0,0,4,0,1,4
0.405201917,1.49,0,0,2,0,3,2
0.462696783,3.1,0,0,1,0,3,3
0.536618754,1.94,0,0,1,1,1,6
0.854209446,2.234,0,0,1,1,3,2
0.854209446,1.62,0,0,2,0,2,4
0.536618754,2.14,0,0,3,1,4,4
0.249144422,1.77,0,0,2,0,5,1
0.462696783,4.03,0,0,1,1,6,2
0.095824778,2.65,0,0,1,0,3,3
0.303901437,1.13,0,0,4,1,1,1
0.169746749,1.53,0,0,3,0,4,3
0.906228611,1.05,0,0,2,0,6,3
0.536618754,0.88,0,0,4,1,2,4
0.854209446,2.9,0,0,3,1,2,5
0.536618754,2.67,0,0,1,0,1,2
0.344969199,0.83,0,0,4,1,3,5
0.249144422,0.7,0,0,4,0,3,1
0.906228611,1.15,0,0,3,0,1,3
0.317590691,0.99,0,0,3,0,2,3
